State Code,County Code,Site Num,Date Local,Latitude,Longitude,State Name,County Name,City Name,PM2.5 Mean,PM10 Mean
1,73,23,2023-08-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.158333,23
1,73,23,2023-08-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.816667,18
1,73,23,2023-08-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.7375,18
1,73,23,2023-08-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.458333,17
1,73,23,2023-08-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.958333,26
1,73,23,2023-08-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.191667,19
1,73,23,2023-08-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.7875,29
1,73,23,2023-08-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.725,16
1,73,23,2023-08-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.170833,19
1,73,23,2023-08-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.533333,22
1,73,23,2023-08-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.616667,20
1,73,23,2023-08-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.291667,27
1,73,23,2023-08-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.895652,18
1,73,23,2023-08-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.745455,23
1,73,23,2023-08-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,20.05,37
1,73,23,2023-08-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.179167,40
1,73,23,2023-08-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.004167,33
1,73,23,2023-08-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,24.3625,48
1,73,23,2023-08-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,41.145833,66
1,73,23,2023-08-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,23.7375,52
1,73,23,2023-08-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,25.533333,58
1,73,23,2023-08-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,30.1875,64
